surface_composition,facet,adsorbate,reaction_energy_eV
Ag3Ga,111,OH*,0.23615
Al3Ti,111,OH*,-0.66385
Fe0.5Co0.5P,101,OH*,-0.776628711923
Al3Nb,111,OH*,-0.49385
Cu3Au,111,OH*,0.34615
Li0.5CoO2,01-12,OOH*,2.922713115
Pd3Fe,111,OH*,0.19615
NbW15HO48,1,OOH*,4.23044227
Ir3Mo,111,OH*,-0.04385
Zn3Pd,111,OH*,0.02615
Zr3As,111,OH*,-2.34385
VW15O47,1,OOH*,2.98772812
VW15O47,1,OOH*,4.4570798
VW15HO48,1,OOH*,4.62980601
NiW15HO48,1,OH*,3.5389104
MnW15O47,1,OH*,1.02856904
VW15HO48,1,OOH*,3.91859627
FeW15HO48,1,OOH*,3.63488575
MnW15O47,1,OH*,1.9056649
VW15O48,1,OOH*,4.62225969
VW15O48,1,OOH*,4.31696379
MnW15O48,1,OH*,0.81860352
NiW15HO48,1,OH*,2.11005416
MnW15HO48,1,OH*,1.66589779
La3Zn,111,OH*,-1.96385
V3Si,111,OH*,-1.90385
MnW15O48,1,OH*,1.6320477
MnW15HO48,1,OH*,0.78880193
V3Ge,111,OH*,-1.89385
MnW15O47,1,OOH*,3.20841363
CrW15O47,1,OH*,0.08199585
NiW15HO48,1,OOH*,6.83661743
MnW15O47,1,OOH*,5.02577612
MnW15HO48,1,OOH*,5.22550736
MnW15HO48,1,OOH*,4.27730851
NiW15O47,1,OH*,0.35855292
MnW15O48,1,OOH*,4.13877893
CeW15O47,1,OH*,2.3669256
Al3Zr,111,OH*,-0.63385
W15ZrO47,1,OOH*,4.57174941
NiW15O47,1,OH*,1.78740916
NiW15O48,1,OH*,4.09628288
NiW15O48,1,OH*,2.26519193
CrW15O48,1,OH*,1.05280078
Y3Pb,111,OH*,-2.57385
Y3Si,111,OH*,-2.56385
TiW15O47,1,OH*,2.08077175
NiW15O47,1,OOH*,4.62731942
Ti3Pt,111,OH*,-2.56385
Y3Sb,111,OH*,-2.52385
NiW15O47,1,OOH*,6.22115992
NiW15O48,1,OOH*,3.94242432
NiW15HO48,1,OOH*,4.60970533
CrW15O47,1,OH*,1.6148678
CeW15O47,1,OH*,2.30963594
NiW15O48,1,OOH*,2.39439871
Al3Mo,111,OH*,-0.71385
Fe3Ge,111,OH*,-0.32385
W15ZrO48,1,OH*,1.35047324
CeW15HO48,1,OH*,2.16822414
CeW15O47,1,OOH*,4.20406222
CeW15O48,1,OH*,2.34904743
CeW15O48,1,OH*,3.45447859
CeW15O47,1,OOH*,4.93862273
CeW15O48,1,OOH*,6.11062182
CeW15O48,1,OOH*,4.54005878
CrW15HO48,1,OH*,2.01782466
CrW15HO48,1,OOH*,4.67257291
Zn3Rh,111,OH*,0.02615
CrW15HO48,1,OH*,0.48495271
CrW15O48,1,OH*,2.37857495
TiW15O47,1,OOH*,4.21708156
FeW15O47,1,OH*,0.75969116
CrW15O47,1,OOH*,4.42093317
CrW15O47,1,OOH*,3.50530105
FeW15O47,1,OH*,0.16656842
MoW15O47,1,OOH*,2.9375501
CrW15HO48,1,OOH*,4.03565616
W15ZrO47,1,OH*,1.42915966
CrW15O48,1,OOH*,4.60937785
CrW15O48,1,OOH*,4.57390918
W15ZrHO48,1,OH*,0.53252676
W15ZrO48,1,OH*,2.21521036
W15ZrHO48,1,OOH*,4.56030656
Ag3Y,111,OH*,-1.68385
W15ZrO48,1,OOH*,4.73890055
W15ZrO47,1,OOH*,4.70861794
Li0.5CoO2,11-20,OH*,0.476573925
W15ZrHO48,1,OOH*,4.58994537
W15ZrO48,1,OOH*,4.53141507
FeW15O48,1,OH*,3.79649192
FeW15O48,1,OOH*,5.9592916
FeW15O47,1,OOH*,3.61273976
TiW15O47,1,OH*,0.86548719
Zr3Zn,111,OH*,-2.30385
FeW15O48,1,OOH*,1.70789214
FeW15O47,1,OOH*,3.32687284
Pd3Cu,111,OH*,0.84615
TiW15HO48,1,OH*,2.04624797
TiW15O48,1,OH*,2.09310643
TiW15HO48,1,OH*,0.83096341
TiW15O48,1,OH*,0.89549882
TiW15HO48,1,OOH*,4.59087378
Nb3Si,111,OH*,-1.88385
TiW15HO48,1,OOH*,4.23089723
Ni3As,111,OH*,0.20615
Pd3Cd,111,OH*,0.91615
Cu3Pd,111,OH*,0.20615
Pd3Sb,111,OH*,0.44615
Li0.5CoO2,01-12,OH*,0.229174985
Cd3Zr,111,OH*,-1.90385
IrO3-SrIrO3,3ML,OOH*,4.09904106964
mildly reduced graphene oxide,monolayer,OOH*,3.62602325035
SrIrO3,001,OOH*,3.11685333728
Ti3Si,111,OH*,-2.19385
Pt3La,111,OH*,-0.40385
Ir3Re,111,OH*,-0.56385
La3Bi,111,OH*,-2.20385
