material,bandgap_eV,bandgap_known,sacrificial_agent,scavenger_strength,has_cocatalyst,wavelength_nm,light_power_W,irradiation_time_h,activity_value,logH2,source_paper
Ba-CN,2.7,False,TEOA,3,False,420.0,300.0,8.0,2743.98,3.4383809416115025,j.cej.2019.123833
CdS,2.4,True,other,1,True,420.0,3.0,12.0,1500.0,3.1760912590556813,S1872-2067(20)63695-6
CdS,2.4,True,other,1,True,420.0,3.0,12.0,300.0,2.4771212547196626,S1872-2067(20)63695-6
Pt,0.0,True,other,1,True,420.0,300.0,12.0,20900.0,4.320146286111054,S1872-2067(20)63695-6
Pt-C3N4,2.7,False,methanol,2,True,420.0,144.0,8.0,89.0,1.9493900066449128,j.ijhydene.2018.03.196
isopropyl alcohol,2.7,False,methanol,2,True,420.0,144.0,8.0,347.0,2.5403294747908736,j.ijhydene.2018.03.196
RhB,2.7,False,none/unspecified,0,False,420.0,300.0,70.0,17.8,1.250420002308894,j.jcis.2019.04.099
RhB,2.7,False,none/unspecified,0,False,420.0,300.0,70.0,5.8,0.7634279935629372,j.jcis.2019.04.099
CdS,2.4,True,none/unspecified,0,False,420.0,300.0,8.0,18100.0,4.2576785748691846,j.apsusc.2021.149622
BF4−,2.7,False,other,1,False,420.0,1.5,10.0,1.91,0.28103336724772754,j.jcat.2016.04.011
PF6−,2.7,False,other,1,False,420.0,1.5,10.0,0.81,-0.09151498112135022,j.jcat.2016.04.011
AgIn)0.5ZnS2,2.7,False,other,1,False,450.0,1.0,12.0,276000.0,5.440909082065217,j.apcatb.2016.11.024
Cu2ZnSnS4,2.7,False,TEOA,3,False,420.0,300.0,1.0,670.0,2.8260748027008264,j.apcatb.2016.05.053
CNTS,2.7,False,TEOA,3,False,420.0,300.0,8.0,900.0,2.9542425094393248,j.apcatb.2016.05.053
Cu2ZnSnS4,2.7,False,TEOA,3,False,420.0,300.0,1.0,1200.0,3.0791812460476247,j.apcatb.2016.05.053
CNTS,2.7,False,TEOA,3,False,420.0,300.0,8.0,1420.0,3.1522883443830563,j.apcatb.2016.05.053
Pt(0.5 wt %),2.7,False,methanol,2,True,420.0,300.0,4.0,2045.1,3.3107145487181184,j.jallcom.2020.155547
Pt(0.5 wt %),2.7,False,methanol,2,True,420.0,300.0,4.0,3904.0,3.591509808994654,j.jallcom.2020.155547
NiBi/graphene,2.7,False,TEOA,3,False,400.0,300.0,8.0,4540.0,3.6570558528571038,S1872-2067(20)63601-4
Ag/NiO,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,96.0,1.9822712330395684,j.solener.2018.11.066
CdS,2.4,True,none/unspecified,0,True,420.0,300.0,1.0,18430.0,4.265525335219074,j.jmst.2020.03.037
MoS2/CdS,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,26320.0,4.420285884941918,j.jmst.2020.03.037
CdS/MoS2,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,1790.0,3.2528530309798933,j.jmst.2020.03.037
CdS,2.4,True,none/unspecified,0,True,420.0,300.0,8.0,1750.0,3.2430380486862944,j.jmst.2020.03.037
BaTiO3,3.2,True,TEOA,3,True,420.0,300.0,60.0,156.7,2.19506899646859,j.susmat.2019.e00101
BaTiO3,3.2,True,TEOA,3,True,420.0,300.0,60.0,50.84,1.7062055418819706,j.susmat.2019.e00101
NaYF4 @ Ag3PO4/Ag @ g-C3N4,2.7,False,none/unspecified,0,False,425.0,15.0,11.0,16320.0,4.212720154417842,j.cej.2021.129687
NaYF4:Yb/Tm @ Ag3PO4/Ag,2.7,False,none/unspecified,0,False,425.0,15.0,12.0,9050.0,3.9566485792052033,j.cej.2021.129687
NaYF4:Yb/Tm @ Ag3PO4/Ag,2.7,False,none/unspecified,0,False,530.0,300.0,8.0,22740.0,4.356790460351716,j.cej.2021.129687
NaYF4:Yb/Tm @ Ag3PO4/Ag,2.7,False,none/unspecified,0,False,425.0,15.0,12.0,23560.0,4.3721752861150645,j.cej.2021.129687
g-C3N4,2.7,True,none/unspecified,0,False,425.0,15.0,12.0,86.0,1.9344984512435677,j.cej.2021.129687
Ni,0.0,True,none/unspecified,0,False,450.0,300.0,8.0,4318.0,3.635282637998212,j.arabjc.2019.07.009
Zn0.5Cd0.5S,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,1361.0,3.133858125203335,j.apsusc.2021.149649
Zn0.5Cd0.5S,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,4853.3,3.6860371374553416,j.apsusc.2021.149649
TiO2,3.2,True,methanol,2,False,420.0,300.0,8.0,500.0,2.6989700043360187,j.apcatb.2015.08.048
NiO/TiO2,2.7,False,glycerol,2,False,420.0,300.0,8.0,1200.0,3.0791812460476247,j.apcatb.2015.08.048
ZnS/Zn-In,2.7,False,Na2S/Na2SO3,3,False,400.0,300.0,4.0,49.3,1.69284691927723,j.apcatb.2021.120187
Ni2 +,2.7,False,other,1,False,420.0,200.0,4.0,0.7,-0.1549019599857432,j.apenergy.2011.05.044
CdS,2.4,True,none/unspecified,0,False,420.0,300.0,55.0,2537.0,3.404320467221731,j.apcatb.2019.117848
Pd [,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,960.2,2.982361701633147,j.ijhydene.2021.03.017
graphene oxide,2.2,True,none/unspecified,0,False,420.0,300.0,8.0,485.93,2.6865737120538817,j.ijhydene.2021.03.017
Fe2P/In2S3,2.7,False,none/unspecified,0,False,420.0,300.0,4.0,494.18,2.6938851650535165,j.ijhydene.2021.03.017
Fe2P/In2S3,2.7,False,none/unspecified,0,False,420.0,300.0,4.0,488.57,2.6889267961731154,j.ijhydene.2021.03.017
Fe2P/In2S3,2.7,False,none/unspecified,0,False,420.0,300.0,4.0,478.67,2.680036209510921,j.ijhydene.2021.03.017
In2S3,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,1350.0,3.130333768495006,j.ijhydene.2021.03.017
In2S3,2.7,False,other,1,True,420.0,300.0,4.0,483.35,2.6842617229289067,j.ijhydene.2021.03.017
"In2S3, 6F–In",2.7,False,other,1,True,420.0,300.0,4.0,288.51,2.4601608707657645,j.ijhydene.2021.03.017
"In2S3, 6F–In",2.7,False,other,1,True,420.0,300.0,4.0,396.43,2.5981665124667783,j.ijhydene.2021.03.017
"In2S3, 6F–In",2.7,False,other,1,True,420.0,300.0,4.0,408.7,2.6114046377115936,j.ijhydene.2021.03.017
"In2S3, 6F–In",2.7,False,other,1,True,420.0,300.0,4.0,417.67,2.620833282298022,j.ijhydene.2021.03.017
"In2S3, 6F–In",2.7,False,other,1,True,420.0,300.0,4.0,427.12,2.6305499078498524,j.ijhydene.2021.03.017
"In2S3, 6F–In",2.7,False,other,1,True,420.0,300.0,4.0,483.22,2.68414490100605,j.ijhydene.2021.03.017
"In2S3, 6F–In",2.7,False,other,1,True,420.0,300.0,4.0,394.54,2.596091040241604,j.ijhydene.2021.03.017
"In2S3, 6F–In",2.7,False,other,1,True,420.0,300.0,4.0,425.53,2.628930183398698,j.ijhydene.2021.03.017
BBD,2.7,False,none/unspecified,0,False,420.0,300.0,4.0,491.65,2.691656043498147,j.ijhydene.2021.03.017
BBD,2.7,False,none/unspecified,0,False,420.0,300.0,4.0,14346.63,4.156749897983882,j.ijhydene.2021.03.017
RhB,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,360.1,2.556423121371285,j.nanoen.2021.106028
RhB,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,401.2,2.6033609243483804,j.nanoen.2021.106028
BTS,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,401.1,2.6032526619816467,j.nanoen.2021.106028
BT,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,655.0,2.816241299991783,j.nanoen.2021.106028
Ag,0.0,True,none/unspecified,0,False,420.0,300.0,8.0,360.2,2.5565437084835145,j.nanoen.2021.106028
BTS,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,141.1,2.149527013754348,j.nanoen.2021.106028
TiO2,3.2,True,none/unspecified,0,False,330.0,300.0,8.0,3340.0,3.5237464668115646,j.jcis.2021.03.116
TiO2,3.2,True,none/unspecified,0,False,420.0,300.0,8.0,970.0,2.9867717342662448,j.jcis.2021.03.116
formaldehyde,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,617.0,2.7902851640332416,j.apcatb.2021.120212
BCN,2.7,False,TEOA,3,True,420.0,300.0,30.0,86.0,1.9344984512435677,j.clay.2019.105320
g-C3N4,2.7,True,TEOA,3,True,420.0,300.0,30.0,326.0,2.513217600067939,j.clay.2019.105320
g-C3N4,2.7,True,TEOA,3,True,420.0,300.0,30.0,965.0,2.9845273133437926,j.clay.2019.105320
CdS,2.4,True,none/unspecified,0,False,420.0,300.0,30.0,32.9,1.5171958979499742,j.apsusc.2017.08.214
CdS,2.4,True,none/unspecified,0,False,420.0,300.0,30.0,36.0,1.5563025007672873,j.apsusc.2017.08.214
CdS,2.4,True,none/unspecified,0,False,420.0,300.0,30.0,983.3,2.9926860391621277,j.apsusc.2017.08.214
Au,0.0,True,none/unspecified,0,False,420.0,300.0,30.0,209.8,2.3218054838575393,j.apsusc.2017.08.214
Au,0.0,True,none/unspecified,0,False,420.0,300.0,30.0,330.4,2.5190400386483445,j.apsusc.2017.08.214
CdS,2.4,True,none/unspecified,0,False,420.0,300.0,30.0,585.6,2.7676010680503356,j.apsusc.2017.08.214
g-C3N4-Co1.4Ni0.6P,2.7,False,TEOA,3,True,420.0,350.0,30.0,195.0,2.290034611362518,j.apsusc.2018.10.033
g-C3N4-Pt,2.7,False,TEOA,3,True,420.0,350.0,30.0,230.0,2.361727836017593,j.apsusc.2018.10.033
Pt,0.0,True,none/unspecified,0,True,420.0,300.0,8.0,405.0,2.6074550232146687,j.apsusc.2018.10.033
CN-Pt,2.7,False,TEOA,3,True,420.0,350.0,30.0,0.5,-0.3010299956639812,j.apsusc.2018.10.033
g-C3N4,2.7,True,TEOA,3,True,420.0,350.0,30.0,403.0,2.6053050461411096,j.apsusc.2018.10.033
Zn0.5Cd0.5S,2.7,False,none/unspecified,0,False,450.0,300.0,10.0,19.9,1.2988530764097066,j.apcata.2020.117587
Zn0.5Cd0.5S,2.7,False,none/unspecified,0,True,450.0,300.0,8.0,0.9,-0.045757490560675115,j.apcata.2020.117587
Zn0.5Cd0.5S,2.7,False,none/unspecified,0,True,450.0,300.0,8.0,47.7,1.678518379040114,j.apcata.2020.117587
