material,n,median_rate,p25,p75,bandgap_eV,bandgap_known
NaTaO3-SS,3,7800.0,4184.0,29255.0,2.7,False
MoO3,3,201.4,101.384,615.5999999999999,2.7,False
P,3,858.2,454.1,1227.1,2.7,False
MoS2/g-C3N4,3,1155.0,1155.0,1157.5,2.7,False
NiO/TiO2,3,2059.0,1629.5,3429.5,2.7,False
Pt-C3N4,3,89.0,89.0,99.0,2.7,False
CZ,3,7180.0,5375.0,9040.0,2.7,False
CH4,3,122.6,61.559999999999995,286.3,2.7,False
NiOx/InNbO4,3,4.0,3.75,4.5,2.7,False
CdS/Cu2S-10,3,10000.0,9350.0,11050.0,2.7,False
CGS,3,165.7,151.1,174.64999999999998,2.7,False
MoxS @ TiO2 @ Ti3C2,3,6419.9,3959.5499999999997,8462.849999999999,2.7,False
CZTS,3,54.6,42.3,59.55,2.7,False
CdS/Co,3,9200.0,6150.0,17100.0,2.7,False
NiS-1,3,582.5,364.7,725.0,2.7,False
Pt/CdS/ZnO,3,5400.0,4750.0,13800.0,2.7,False
CZV10,3,226.9,178.115,298.01,2.7,False
CCN,3,683.54,515.27,1686.77,2.7,False
NiS/Cd0.65Zn0.35S,3,2010.0,1650.0,2675.0,2.7,False
NiS/CdS,3,37200.0,19356.2,219450.0,2.7,False
Mg(OH)2,3,733.0,726.0,736.5,2.7,False
Ni2 +,3,620.0,310.35,6860.0,2.7,False
Ni12P5,3,535.7,535.7,1397.85,2.7,False
CO2,3,2500.0,1410.0,6050.0,2.7,False
Ni/CsLa2Ti2NbO10,3,38.9,25.299999999999997,125.45,2.7,False
Mo,3,294.0,284.5,412.0,2.7,False
NiSx/CdS,3,2721.0,2365.5,2920.5,2.7,False
Ni-P,3,665.0,451.0,1085.5,2.7,False
Ni-Ni(OH)2/CdS,3,13300.0,13150.0,220650.0,2.7,False
Cd0.5Zn0.5S @ C3N4,3,7370.0,6235.0,9285.0,2.7,False
Pt/ZnIn2S4-220,3,497.0,331.0,554.5,2.7,False
NCO,3,3820.4,1930.0,10414.2,2.7,False
Mo-g-C3N4,3,63.0,40.5,71.0,2.7,False
CZZ-4,3,30560.0,15284.9,74590.0,2.7,False
EDTA,3,33.6,24.25,2471.8,2.7,False
Ag:ZnIn2S4,3,5125.11,4669.87,5734.485,2.7,False
Zn0.67Cd0.33S,3,6690.0,5345.0,10980.0,2.7,False
Zn0.5Co0.5S,3,1180.0,920.0,3950.0,2.7,False
ZZ,3,16.0,11.5,19.0,2.7,False
ZTO,3,633.0,581.0,1708.5,2.7,False
Co2P,3,857.6,455.45,3427.55,2.7,False
ZSTU-1,3,1060.0,705.0,1205.0,2.7,False
Co2 +,3,580.0,327.845,681.0,2.7,False
ZIF-8,3,261.7,141.615,285.6,2.7,False
Au-TiO2,3,80.0,67.5,7940.0,2.7,False
Fe2O3/TiO2,3,5.0,3.0,502.5,2.7,False
Fe2P/In2S3,3,488.57,483.62,491.375,2.7,False
TiO2/C,3,425.6,238.75,515.3,2.7,False
WS2/CdS,3,32400.0,25065.0,40500.0,2.7,False
Au/P25 TiO2,3,27400.0,25600.0,29750.0,2.7,False
WO3/g-C3N4,3,982.0,922.0,982.0,2.7,False
VAN @ MIL-101,3,269400.0,134940.0,314700.0,2.7,False
Ga2O3,3,320.6,258.8,597.8,2.7,False
AuPd,3,526.0,302.1,927.0,2.7,False
H +,3,628.0,387.0,899.0,2.7,False
TiO2−x,3,242.91,191.45499999999998,278.955,2.7,False
TiO2–Au,3,1605.0,1603.5,7022.5,2.7,False
TiO2nanosheets,3,6958.0,3847.0,7169.5,2.7,False
BDC-Zn,3,1137.8,592.65,1198.6,2.7,False
HCHO,3,20.0,13.25,15150.0,2.7,False
BN,3,22.1,18.700000000000003,112.05,2.7,False
FeS,3,1359.2,1295.0,1715.15,2.7,False
NYTiO2-Pt-0.5,3,6810.0,6005.0,7715.0,2.7,False
0.5Rh/TSG,3,4258.0,3829.0,5752.0,2.7,False
palladium,3,711.9,493.45,778.9,2.7,False
0.5Au/TiO2-P25,3,415.0,235.0,457.5,2.7,False
polybenzothiadiazole,3,8520.0,4930.0,10995.0,2.7,False
α-H,3,6200.0,3900.0,7200.0,2.7,False
Cu/TiO2-400,3,9400.0,5900.0,12265.0,2.7,False
Cu1Ni3,3,2760.0,1690.0,3905.0,2.7,False
CoOx @ N,3,40000.0,30500.0,40050.0,2.7,False
graphene oxide,3,5500.0,2992.965,160600.0,2.2,True
CoOx,3,12000.0,7750.0,19000.0,2.7,False
2H-WS2,3,135.0,110.5,407.5,2.7,False
g-C3N4/Ti3C2,3,565.0,326.5,2832.5,2.7,False
Ag3PO4,3,3920.4,2022.835,5260.2,2.7,False
g hydrogen,3,668.4,549.2,901.2,2.7,False
formaldehyde,3,1687.0,1152.0,11943.5,2.7,False
Cu4/TiO2 @ Ti3C2Tx,3,764.0,404.0,813.0,2.7,False
ZrO2,3,3550.0,2775.0,5496.0,2.7,False
AIZS,3,951.0,619.0,1645.5,2.7,False
Co9S8,3,14.2,7.5649999999999995,2582.1,2.7,False
ZnWO4,3,57.98,49.459999999999994,544.04,3.9,True
Co4S3,3,1500.0,844.0,1750.0,2.7,False
ZnS @ g-C3N4/TiO2,3,217.0,154.5,338.0,2.7,False
Co3O4/TiO2-TiO2-0.06,3,1005.2,573.8,1370.15,2.7,False
ZnO @ ZnS,3,97.0,60.0,13210.0,2.7,False
ZnIn2S4 @ In(OH)3,3,422.0,364.5,472.0,2.7,False
ZnCdS,3,20.0,10.57,234.7,2.7,False
Zn1−xCdxS,3,4020.0,3074.0,16310.0,2.7,False
g-C3N4/MoS2,3,252.0,232.20499999999998,384.58,2.7,False
SS-SrTiO3,3,326.0,220.0,1962.5,2.7,False
TS-9H,3,136.66,102.655,195.82999999999998,2.7,False
THP,3,320.0,210.0,1155.0,2.7,False
THS,3,1110.0,572.0,7135.0,2.7,False
TiO2-Au,3,3.75,3.175,8.075,2.7,False
Bi0.5In0.5TaO4,3,290.98,145.65,401.365,2.7,False
STO:Rh-1000,3,1.0,0.54,1.37,2.7,False
LaCoO3,3,28.0,27.5,94.0,2.7,False
KTaO3,3,3.6,2.8,4.3,3.6,True
La2Ti2O7,3,68.14,39.365,214.17149999999998,2.7,False
SnS2,3,6305.18,3167.59,20977.59,2.2,True
TiN,3,920.0,471.4,1155.0,2.7,False
Bi/Bi5O7I,3,325.0,213.0,580.0,2.7,False
In2TiO5,3,35.7,19.650000000000002,86.85,2.7,False
La0.02Na0.98TaO3,3,0.54,0.3385,117.77,2.7,False
La,3,4876.0,2885.6,12338.0,2.7,False
SnS,3,650.0,382.75,3229.0,1.3,True
HOCN4,3,477.0,284.0,808.5,2.7,False
K2HPO4,3,8597.0,5153.15,26398.5,2.7,False
BNT,3,426.0,397.9,463.0,2.7,False
Cr,3,67.0,39.35,142.0,2.7,False
HCN,3,1036.1,733.05,1107.05,2.7,False
TiO2-Ni(OH)2,3,5360.0,2965.0,8680.0,2.7,False
M0.1CW30-150 < M0.1CW30-60,3,1259.4,1074.25,1721.6000000000001,2.7,False
CdS/WO3/TiO2,3,1298.0,1025.5,1464.5,2.7,False
Brookite,3,11.0,10.5,20.5,2.7,False
CdSe-DETA,3,2570.0,1550.0,3140.0,2.7,False
CdxZn1−xS,3,1760.0,1680.0,4040.0,2.7,False
Su,3,500.0,375.0,860.0,2.7,False
CdSe/CdS,3,13500.0,6875.755,56750.0,2.7,False
N3,2,1350.05,775.025,1925.0749999999998,2.7,False
LCO,2,743.25,424.52500000000003,1061.975,2.7,False
Melon,2,1283.49,1008.99,1557.99,2.7,False
CuO/NiO,2,120.8,64.2,177.4,2.7,False
CuNi5:5/CQDs3,2,29.275,18.7525,39.7975,2.7,False
CuInS2,2,7.145,4.2175,10.0725,2.7,False
CuNi,2,41.35,34.43,48.269999999999996,2.7,False
CuNi5:5,2,1041.0,836.0,1246.0,2.7,False
CuNi/rGO,2,909.0,470.0,1348.0,2.7,False
CuInS2/TiO2/MoS2,2,587.5,364.25,810.75,2.7,False
